10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_1,1_T_2_0,1_T_2_1,3_A_2,3_T_1_0,3_T_1_1,3_T_2
22502.502502502502,28573.368196543735,76432.96739289368,13418.026130044547,57963.30945939286,38700.667794718705,13215.572342717573,35663.26074421734,43281.17029722121,0.0,31954.83308693491,20778.667794718705
22542.542542542546,28579.29317170539,76504.97952693512,13417.313796619605,58041.9589020209,38739.63634932025,13215.217708326752,35701.51244777121,43360.1788918628,0.0,31992.730156097954,20817.63634932025
22582.582582582585,28585.199445091203,76577.0155770412,13416.60278938315,58120.612232749256,38778.6075110662,13214.863178173353,35739.76926137646,43439.19009364879,0.0,32030.632439549816,20856.6075110662
22622.622622622624,28591.087095422783,76649.0754460018,13415.893105901197,58199.269435523405,38817.5812707123,13214.50875586226,35778.031162939704,43518.203893334925,0.0,32068.539918801966,20895.581270712297
22662.662662662664,28596.956201036588,76721.15903707675,13415.184743734155,58277.93049437918,38856.557619056664,13214.15444495457,35816.2981304961,43597.22028171933,0.0,32106.45257545066,20934.557619056664
22702.702702702703,28602.80683988589,76793.2662539933,13414.477700437039,58356.595393442134,38895.536546939584,13213.800248968088,35854.57014220838,43676.23924964229,0.0,32144.370391176468,20973.536546939584
22742.742742742743,28608.63908954269,76865.39700094386,13413.77197355967,58435.26411692689,38934.518045243276,13213.4461713778,35892.847176366005,43755.26078798602,0.0,32182.29334774381,21012.518045243276
22782.782782782782,28614.45302719962,76937.55118258364,13413.067560646805,58513.93664913646,38973.50210489163,13213.09221561631,35931.12921138417,43834.28488767442,0.0,32220.221427000484,21051.50210489163
22822.82282282282,28620.24872967187,77009.72870402818,13412.364459238364,58592.612974461685,39012.48871685002,13212.73838507432,35969.416225802895,43913.311539672846,0.0,32258.154610877224,21090.48871685002
22862.862862862865,28626.026273399086,77081.92947085103,13411.662666869577,58671.29307738053,39051.477872125055,13212.38468310108,36007.70819828616,43992.34073498792,0.0,32296.092881387238,21129.477872125055
22902.902902902904,28631.785734447236,77154.15338908139,13410.962181071141,58749.97694245748,39090.46956176431,13212.03111300479,36046.00510762091,44071.37246466721,0.0,32334.03622062571,21168.46956176431
22942.942942942944,28637.52718851054,77226.40036520181,13410.262999369435,58828.664554342926,39129.46377685618,13211.677678053122,36084.306932716296,44150.406719799124,0.0,32371.98461076942,21207.46377685618
22982.982982982983,28643.25071091331,77298.67030614593,13409.565119286644,58907.35589777259,39168.46050852961,13211.32438147358,36122.61365260267,44229.443491512604,0.0,32409.938034076244,21246.460508529613
23023.023023023023,28648.956376611834,77370.9631192959,13408.868538340923,58986.050957566826,39207.45974795387,13210.971226453965,36160.92524643075,44308.482770976894,0.0,32447.89647288472,21285.45974795387
23063.063063063062,28654.64426019624,77443.27871248042,13408.173254046591,59064.749718630075,39246.46148633833,13210.618216142806,36199.24169347079,44387.524549401394,0.0,32485.8599096136,21324.461486338332
23103.1031031031,28660.314435892353,77515.61699397216,13407.47926391424,59143.45216595028,39285.46571493226,13210.265353649764,36237.56297311165,44466.56881803536,0.0,32523.828326761417,21363.46571493226
23143.14314314315,28665.96697756353,77587.97787248567,13406.786565450953,59222.158284598256,39324.47242502461,13209.912642046069,36275.889064859985,44545.61556816775,0.0,32561.80170690605,21402.472425024604
23183.183183183188,28671.60195871249,77660.36125717495,13406.095156160374,59300.86805972708,39363.48160794373,13209.560084364897,36314.21994833936,44624.66479112691,0.0,32599.780032704264,21441.481607943726
23223.223223223227,28677.21945248319,77732.76705763134,13405.405033542942,59379.58147657159,39402.49325505727,13209.20768360183,36352.55560328948,44703.71647828049,0.0,32637.763286891306,21480.493255057267
23263.263263263267,28682.81953166261,77805.19518388112,13404.716195095996,59458.298520447745,39441.50735777187,13208.855442715214,36390.896009565266,44782.77062103513,0.0,32675.751452280478,21519.507357771872
23303.303303303306,28688.402268682567,77877.6455463834,13404.028638313912,59537.01917675206,39480.52390753299,13208.503364626573,36429.24114713609,44861.82721083629,0.0,32713.744511762663,21558.523907532985
23343.343343343346,28693.967735621547,77950.11805602776,13403.342360688275,59615.74343096104,39519.542895824656,13208.151452221013,36467.59099608495,44940.886239168,0.0,32751.742448305966,21597.542895824656
23383.383383383385,28699.516004206485,78022.61262413213,13402.657359708004,59694.47126863063,39558.564314169314,13207.7997083476,36505.94553660764,45019.94769755269,0.0,32789.745244955244,21636.564314169314
23423.423423423425,28705.047145814566,78095.12916244054,13401.973632859486,59773.20267539563,39597.58815412756,13207.448135819743,36544.30474901195,45099.01157755098,0.0,32827.752884831694,21675.58815412756
23463.463463463468,28710.56123147502,78167.66758312091,13401.291177626732,59851.93763696921,39636.614407297966,13207.09673741559,36582.66861371688,45178.07787076144,0.0,32865.76535113247,21714.61440729797
23503.503503503507,28716.058331870874,78240.22779876285,13400.609991491487,59930.67613914224,39675.643065316865,13206.745515878385,36621.03711125183,45257.14656882037,0.0,32903.78262713021,21753.64306531686
23543.543543543547,28721.538517340745,78312.8097223755,13399.930071933377,60009.41816778285,39714.674119858115,13206.394473916856,36659.410222255836,45336.217663401665,0.0,32941.804696172694,21792.67411985812
23583.583583583586,28727.001857880598,78385.41326738536,13399.251416430057,60088.1637088359,39753.707562632975,13206.04361420559,36697.787927476784,45415.291146216565,0.0,32979.83154168237,21831.70756263298
23623.623623623625,28732.448423145473,78458.03834763414,13398.574022457286,60166.91274832233,39792.74338538981,13205.692939385362,36736.17020777063,45494.36700901343,0.0,33017.86314715599,21870.743385389807
23663.663663663665,28737.878282451293,78530.68487737658,13397.897887489122,60245.66527233876,39831.781579913935,13205.342452063556,36774.55704410066,45573.445243577604,0.0,33055.89949616422,21909.78157991394
23703.703703703704,28743.291504776527,78603.35277127833,13397.223008997982,60324.42126705688,39870.82213802743,13204.992154814456,36812.948417536696,45652.525841731134,0.0,33093.94057235116,21948.82213802743
23743.743743743744,28748.68815876397,78676.04194441381,13396.549384454807,60403.18071872298,39909.86505158889,13204.642050179644,36851.3443092544,45731.608795332635,0.0,33131.98635943404,21987.86505158889
23783.783783783787,28754.06831272246,78748.75231226411,13395.877011329165,60481.94361365741,39948.91031249328,13204.292140668327,36889.744700534444,45810.694096277075,0.0,33170.036841202775,22026.91031249328
23823.823823823826,28759.432034628582,78821.48379071482,13395.20588708938,60560.70993825403,39987.9579126717,13203.942428757702,36928.149572761875,45889.78173649553,0.0,33208.09200151958,22065.957912671704
23863.863863863866,28764.77939212838,78894.23629605405,13394.536009202624,60639.479678979806,40027.00784409122,13203.592916893269,36966.55890742529,45968.871707955084,0.0,33246.15182431856,22105.007844091215
23903.903903903905,28770.11045253906,78967.00974497022,13393.867375135063,60718.25282237421,40066.060098754635,13203.243607489187,37004.972686116176,46047.96400265854,0.0,33284.216293605365,22144.060098754635
23943.943943943945,28775.425282850676,79039.80405455004,13393.199982351953,60797.029355048755,40105.11466870036,13202.894502928619,37043.39089052815,46127.05861264431,0.0,33322.28539345677,22183.114668700357
23983.983983983984,28780.723949727828,79112.61914227645,13392.533828317746,60875.80926368653,40144.17154600214,13202.54560556403,37081.81350245626,46206.15552998612,0.0,33360.35910802029,22222.171546002137
24024.024024024024,28786.006519511327,79185.45492602652,13391.868910496214,60954.59253504164,40183.23072276893,13202.196917717549,37120.24050379628,46285.254746792954,0.0,33398.43742151383,22261.230722768927
24064.064064064063,28791.27305821987,79258.31132406945,13391.205226350545,61033.37915593879,40222.29219114466,13201.848441681255,37158.67187654401,46364.35625520873,0.0,33436.520318225266,22300.292191144665
24104.10410410411,28796.52363155169,79331.18825506451,13390.542773343444,61112.16911327276,40261.3559433081,13201.500179717537,37197.10760279457,46443.46004741221,0.0,33474.6077825121,22339.355943308103
24144.14414414415,28801.75830488624,79404.08563805898,13389.881548937263,61190.962394007955,40300.42197147261,13201.152134059379,37235.547664741694,46522.56611561676,0.0,33512.69979880108,22378.421971472613
24184.18418418419,28806.9771432858,79477.00339248616,13389.221550594062,61269.7589851779,40339.49026788599,13200.80430691068,37273.99204467711,46601.674452070176,0.0,33550.79635158778,22417.490267885987
24224.22422422423,28812.180211497136,79549.9414381634,13388.562775775745,61348.5588738848,40378.560824830274,13200.456700446563,37312.440724989756,46680.785049054495,0.0,33588.89742543632,22456.560824830274
24264.264264264268,28817.367573953154,79622.89969529005,13387.90522194415,61427.36204729906,40417.633634621605,13200.109316813705,37350.89368816523,46759.89789888587,0.0,33627.00300497894,22495.633634621605
24304.304304304307,28822.539294774473,79695.87808444546,13387.248886561121,61506.168492658806,40456.708689609964,13199.762158130594,37389.350916785035,46839.01299391427,0.0,33665.11307491563,22534.708689609964
24344.344344344347,28827.695437771086,79768.87652658705,13386.593767088652,61584.97819726947,40495.78598217907,13199.415226487865,37427.812393525935,46918.13032652342,0.0,33703.2276200138,22573.78598217907
24384.38438438439,28832.836066443953,79841.89494304833,13385.939860988949,61663.79114850333,40534.86550474614,13199.068523948583,37466.27810115931,46997.24988913053,0.0,33741.34662510789,22612.865504746143
24424.42442442443,28837.961243986578,79914.93325553689,13385.287165724494,61742.607333798966,40573.94724976173,13198.722052548528,37504.748022550506,47076.37167418616,0.0,33779.47007509903,22651.94724976173
24464.46446446447,28843.07103328665,79987.99138613249,13384.635678758203,61821.426740660936,40613.031209709574,13198.375814296498,37543.22214065818,47155.49567417404,0.0,33817.597954954676,22691.031209709574
24504.504504504508,28848.165496927584,80061.06925728518,13383.985397553468,61900.2493566593,40652.117377106384,13198.029811174589,37581.70043853367,47234.62188161089,0.0,33855.730249708264,22730.117377106384
24544.544544544548,28853.24469719015,80134.16679181326,13383.336319574277,61979.07516942913,40691.205744501705,13197.684045138496,37620.18289932037,47313.75028904625,0.0,33893.86694445886,22769.205744501705
24584.584584584587,28858.308696053984,80207.28391290139,13382.688442285249,62057.90416667012,40730.29630447769,13197.338518117744,37658.66950625305,47392.880889062275,0.0,33932.00802437079,22808.29630447769
24624.624624624626,28863.357555199174,80280.42054409877,13382.041763151768,62136.73633614616,40769.38904964897,13196.993232016017,37697.16024265729,47472.01367427359,0.0,33970.15347467331,22847.38904964897
24664.664664664666,28868.391336007848,80353.57660931707,13381.396279640052,62215.57166568485,40808.483972662456,13196.648188711406,37735.65509194884,47551.14863732712,0.0,34008.30328066025,22886.483972662456
