10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_3_0,1_T_3_1,3_T_1_0,3_T_1_1,1_T_1,3_T_2,3_A_2
15575.575575575576,27180.593972829512,64443.2023432911,13563.106648860934,44434.68966725968,13273.085355817153,29149.135384727884,0.0,25497.42074054504,32008.898158060307,14086.498158060307,29662.073733635883
15615.615615615618,27191.36048764382,64509.094776730635,13562.146965992655,44512.30829838179,13272.83462412234,29186.005024636484,0.0,25534.03964875883,32047.227632187223,14124.827632187224,29740.443247802843
15655.655655655657,27202.086991591845,64575.03747733525,13561.188571804807,44589.93589712228,13272.581958551491,29222.88685471994,0.0,25570.668813271437,32085.562234463545,14163.162234463545,29818.817890119204
15695.695695695696,27212.773662441978,64641.03022332418,13560.231473389962,44667.57241237619,13272.32738630788,29259.780803762576,0.0,25607.30819007046,32123.901942883076,14201.501942883076,29897.197638578775
15735.735735735736,27223.420677227426,64707.072793891115,13559.275677669822,44745.217793448726,13272.070934276631,29296.686801106174,0.0,25643.95773538281,32162.24673555927,14239.846735559271,29975.58247129501
15775.775775775779,27234.02821224701,64773.16496920191,13558.32119139802,44822.8719900509,13271.812629028565,29333.604776644577,0.0,25680.61740567315,32200.59659072446,14278.196590724463,30053.97236650024
15815.815815815818,27244.596443065988,64839.306530392234,13557.3680211629,44900.53495229532,13271.55249682405,29370.53466081835,0.0,25717.2871576424,32238.951486729107,14316.55148672911,30132.367302544924
15855.855855855858,27255.12554451688,64905.49725956516,13556.416173390222,44978.20663069182,13271.290563616734,29407.47638460945,0.0,25753.96694822619,32277.31140204102,14354.911402041023,30210.767257896878
15895.895895895897,27265.615690700433,64971.73693978887,13555.465654345873,45055.88697614343,13271.026855057318,29444.42987953609,0.0,25790.65673459341,32315.67631524465,14393.276315244653,30289.172211140547
15935.935935935939,27276.067054986546,65038.02535509407,13554.516470138464,45133.57593994215,13270.76139649719,29481.395077647492,0.0,25827.356474144675,32354.046205040308,14431.64620504031,30367.582140976247
15975.975975975978,27286.47981001521,65104.362290471625,13553.568626721923,45211.27347376491,13270.494212992053,29518.371911518803,0.0,25864.066124510853,32392.421050243414,14470.021050243417,30445.997026219393
16016.016016016018,27296.854127697603,65170.74753187003,13552.622129898069,45288.97952966957,13270.225329305544,29555.360314246074,0.0,25900.78564355162,32430.800829783817,14508.400829783819,30524.416845799835
16056.056056056057,27307.19017921712,65237.18086619292,13551.676985319093,45366.694060090944,13269.954769912736,29592.360219441245,0.0,25937.51498935398,32469.18552270502,14546.78552270502,30602.841578761076
16096.096096096098,27317.488135030464,65303.662081296454,13550.733198490016,45444.41701783691,13269.682559003628,29629.371561227195,0.0,25974.25412023082,32507.57510816346,14585.175108163461,30681.27120425956
16136.136136136138,27327.74816486881,65370.19096598681,13549.790774771136,45522.14835608449,13269.408720486601,29666.394274232887,0.0,26011.002994719485,32545.96956542781,14623.569565427813,30759.70570156395
16176.176176176177,27337.97043773897,65436.76731001753,13548.849719380381,45599.888028376125,13269.133277991812,29703.428293588517,0.0,26047.76157158033,32584.36887387825,14661.968873878253,30838.14505005443
16216.216216216217,27348.15512192459,65503.39090408695,13547.91003739568,45677.63598861586,13268.856254874552,29740.473554920773,0.0,26084.529809795324,32622.773013005768,14700.37301300577,30916.589229221987
