10Dq,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_E_0,2_E_1,2_E_2,2_E_3,4_T_1_0,4_T_1_1,4_A_2,4_T_2,2_A_1,2_A_2
19859.859859859862,28302.470324611353,38776.772375126355,52345.511440860006,61092.33113962984,87851.95787893164,19907.81868796061,39386.629722557554,45597.12657639516,58729.4302224897,68020.69394975618,19075.4009857361,41634.65206468705,64520.9657947114,88847.65645416477,28676.936807130187,44672.6427724494,0.0,19859.859859859862,35930.36785985986,54290.36785985986
19899.8998998999,28310.695466698195,38817.815616400956,52386.84621060343,61167.524587982596,87926.40151771423,19908.963767864756,39426.62918215043,45640.3836217828,58809.15128609599,68096.81154150545,19076.80165074853,41674.68621349179,64580.329031906935,88947.05860335226,28722.469272267273,44747.23042743243,0.0,19899.8998998999,35970.4078998999,54330.4078998999
19939.93993993994,28318.901004951316,38858.85730813538,52428.148822156916,61242.75595833994,88000.8605460561,19910.1052569068,39466.62890712608,45683.629221897296,58888.87372957637,68172.94252413309,19078.1995037242,41714.72030737102,64639.59285350243,89046.56303510207,28767.978098176918,44821.84172164291,0.0,19939.93993993994,36010.44793993994,54370.44793993994
19979.979979979984,28327.08700560608,38899.89744805392,52469.419685065805,61318.02483626017,88075.3349048939,19911.24317261411,39506.62889530854,45726.863430533325,58968.59754504463,68249.08683637928,19079.594554952982,41754.75434707625,64698.757753721184,89146.1692441495,28813.463413185793,44896.47652675415,0.0,19979.97997997998,36050.48797997998,54410.48797997998
20020.020020020023,28335.25353456021,38940.93603398792,52510.6592035119,61393.33081261881,88149.8245354413,19912.377532395454,39546.62914454344,45770.08630119275,59048.32272467413,68325.24441731433,19080.986814663855,41794.78833334992,64757.82422601829,89245.87672606803,28858.92534489852,44971.13471516154,0.0,20020.02002002002,36090.52802002002,54450.52802002002
20060.060060060063,28343.40065737686,38981.97306387395,52551.86777638178,61468.673483540806,88224.32937918697,19913.508353542013,39586.62965269789,45813.297887086366,59128.04926069729,68401.4152063368,19082.376293025347,41834.82226692564,64816.792763045974,89345.68497730335,28904.36402020046,45045.81615997972,0.0,20060.06006006006,36130.56806006006,54490.56806006006
20100.100100100102,28351.52843928768,39023.008535751476,52593.045797334606,61544.05245033309,88298.84937789376,19914.635653228408,39626.630417660184,45856.49824113544,59207.777145404936,68477.59914317162,19083.76300014608,41874.85614852821,64875.663856619474,89445.59349520675,28949.77956526058,45120.52073503972,0.0,20100.1001001001,36170.6081001001,54530.6081001001
20140.14014014014,28359.63694519578,39064.04244776108,52634.193654869276,61619.467319417774,88373.38447359699,19915.75944851377,39666.631437339514,45899.68741597341,59287.50637114585,68553.79616786836,19085.146946075263,41914.88997887377,64934.43799768356,89545.60177806814,28995.17210553428,45195.24831488615,0.0,20140.140140140145,36210.64814014015,54570.64814014015
20180.18018018018,28367.72623967869,39105.07479814254,52675.311732391056,61694.91770226584,88447.93460860298,19916.87975634264,39706.63270966579,45942.86546394739,59367.23693032612,68630.00622079917,19086.528140803184,41954.923758669844,64993.11567627969,89645.70932514821,29040.541765766262,45269.998774774285,0.0,20180.180180180185,36250.68818018019,54610.68818018019
20220.22022022022,28375.796386991242,39146.10558523281,52716.400408277725,61770.4032153317,88522.49972548787,19917.996593546097,39746.634232589386,45986.032437119924,59446.968815408756,68706.2292426572,19087.906594261705,41994.957488615604,65051.69738151383,89745.91563671001,29085.88866999345,45344.77199066722,0.0,20220.220220220224,36290.728220220226,54650.728220220226
