10Dq,2_A_1,2_A_2,2_E_0,2_E_1,2_E_2,2_E_3,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,4_A_2,4_T_1_0,4_T_1_1,4_T_2
7552.117117117117,23886.167898463267,43306.16789846327,13013.092437453279,29707.607583552675,34047.65953247151,65143.194923258474,18678.403839107254,23499.373646792963,27643.592262265814,33226.83532903352,42815.51729799964,18974.389804149603,26847.258088697774,32551.959510860434,41207.26736527936,65636.84760621205,14060.285015580383,0.0,20029.218679809415,6508.167898463265
7577.207207207207,23908.919332938985,43328.91933293898,12989.883703207808,29731.808581910045,34090.083663886835,65165.69417554399,18677.873005654277,23502.329090636802,27665.772723317714,33262.98912697149,42843.425510907444,18976.057668874386,26864.425823849146,32580.235371987772,41220.45886418247,65665.21172859395,14108.126540146191,0.0,20049.631458670763,6530.9193329389855
7602.297297297297,23931.67606962085,43351.67606962085,12966.665598781718,29756.001009417025,34132.532795070045,65188.20757791731,18677.33659031898,23505.277173725957,27687.963001945325,33299.11604572352,42871.390239093176,18977.712919216323,26881.605088172524,32608.506004263305,41233.64275847171,65693.61628068314,14155.973366918148,0.0,20070.054841944402,6553.676069620851
7627.387387387387,23954.43809233867,43374.43809233867,12943.438210760265,29780.185019352146,34175.0066439231,65210.735107931774,18676.794669895822,23508.217913240856,27710.16303598282,33335.21594520224,42899.411509984246,18979.35564169946,26898.79578308846,32636.771347722803,41246.81910019997,65722.06120159528,14203.825479726056,0.0,20090.488797289952,6576.438092338671
7652.477477477477,23977.20538497962,43397.20538497962,12920.201624653037,29804.360762736156,34217.50493179011,65233.276743261675,18676.24732023949,23511.151326363884,27732.37276387967,33371.2886866093,42927.48935032828,18980.9859223079,26915.99781019107,32665.031342750764,41259.98794180219,65750.54643036873,14251.682862457097,0.0,20110.933292481765,6599.205384979621
7677.5675675675675,23999.977931488043,43419.97793148804,12896.955924910173,29828.528388361898,34260.02738341074,65255.832461701786,18675.69461627719,23514.077430278827,27754.592124692907,33407.33413244023,42955.6237861835,18982.603846487567,26933.21107125136,32693.285930073456,41273.149336094764,65779.07190596551,14299.545499055612,0.0,20131.38829540852,6621.977931488043
7702.657657657657,24022.755715865234,43442.755715865234,12873.701194938305,29852.688042824084,34302.57372687406,65278.40224116682,18675.13663202072,23516.996242170313,27776.82105807929,33443.35214648928,42983.81484290892,18984.209499148,26950.43546822045,32721.535050752107,41286.30333627522,65807.63756727274,14347.413373522893,0.0,20151.853774072813,6644.755715865234
7727.747747747748,24045.53872216923,43465.53872216923,12850.437517116185,29876.83987054875,34345.143693572856,65300.98605969135,18674.573440578428,23519.907779223227,27799.05950428775,33479.342593854344,43012.06254515464,18985.80296466421,26967.670903232756,32749.7786461762,41299.44999592184,65836.2433531034,14395.286469916977,0.0,20172.32969659071,6667.538722169229
7752.8378378378375,24068.32693451461,43488.32693451461,12827.164972810138,29900.984013822555,34387.73701815853,65323.58389542938,18674.005114166994,23522.812058622192,27821.307404151838,33515.305340941886,43040.36691685231,18987.384326878553,26984.917278608933,32778.01665805685,41312.58936899314,65864.88920219775,14443.16477235245,0.0,20192.816031191385,6690.326934514611
7777.927927927927,24091.1203370723,43511.1203370723,12803.883642389146,29925.12061282189,34430.353438496364,65346.195726653874,18673.43172412298,23525.70909755101,27843.56469908233,33551.24025547177,43068.72798120549,18988.95366910264,27002.17449685882,32806.24902842018,41325.72150982768,65893.57505322428,14491.04826500023,0.0,20213.312746216678,6713.120337072303
7803.018018018018,24113.918914069356,43533.918914069356,12780.59360523971,29949.249805641644,34472.99269562139,65368.82153175666,18672.853340914342,23528.598913192134,27865.83133105997,33587.147206482216,43097.1457606801,18990.511074119255,27019.44246068417,32834.47569960092,41338.846473143516,65922.3008447809,14538.936932087374,0.0,20233.819810120698,6735.918914069358
7828.108108108108,24136.72264978876,43556.72264978876,12757.294939780451,29973.37172832385,34515.65453369474,65391.46128924787,18672.27003415165,23531.481522726135,27888.107242628197,33623.02606433467,43125.62027699505,18992.05662418434,27036.721072981363,32862.696614235945,41351.96431403793,65951.06651539615,14586.83075789687,0.0,20254.337191469418,6758.722649788762
7853.198198198198,24159.53152856924,43579.531528569234,12733.987723476488,29997.48651488596,34558.338699960455,65414.11497775586,18671.68187259928,23534.356943331197,27910.392376886142,33658.876700718654,43154.15155111272,18993.590401028992,27054.01023684393,32890.911715258044,41365.07508798699,65979.87200353006,14634.729726767438,0.0,20274.86485894028,6781.5315285692395
7878.288288288288,24182.34553480502,43602.34553480502,12710.672032853472,30021.594297349002,34601.04494470278,65436.78257602653,18671.0889241863,23537.225192182555,27932.68667748158,33694.69898865664,43182.73960322974,18995.112485861413,27071.309855564992,32919.12094588953,41378.17885084529,66008.71724757561,14682.63382309331,0.0,20295.402781321758,6804.345534805021
7903.378378378378,24205.164652945685,43625.164652945685,12687.347943511522,30045.695205765376,34643.77302120412,65459.464062923325,18670.491256017376,23540.086286452053,27954.99008860409,33730.49280250895,43211.384452767605,18996.622959369048,27088.619832639684,32947.32424963621,41391.27565884554,66037.60218585959,14730.543031324065,0.0,20315.950927512997,6827.164652945687
7928.468468468468,24227.98886749592,43647.98886749592,12664.01553013877,30069.789368246384,34686.5226857033,65482.15941742675,18669.88893438337,23542.940243307577,27977.302554978185,33766.25801797847,43240.08611836351,18998.12190172057,27105.940071767283,32975.52157028121,41404.36556859824,66066.52675664384,14778.457335964385,0.0,20336.509266523364,6849.988867495918
7953.558558558558,24250.818163015323,43670.81816301533,12640.67486652478,30093.87691098957,34729.29369735442,65504.868618633955,18669.282024771885,23545.787079912596,27999.62402185674,33801.99451211559,43268.844617861236,18999.609392567992,27123.270476853475,33003.712851878954,41417.448637091366,66095.4908981263,14826.37672157388,0.0,20357.07776747209,6872.818163015323
7978.648648648648,24273.652524118257,43693.65252411825,12617.326025573728,30117.95795830576,34772.085818186235,65527.59164575864,18668.670591877664,23548.626813425675,28021.954435014315,33837.7021633229,43297.659968302076,19001.085511048805,27140.61095201235,33031.898038749205,41430.52492169013,66124.49454844218,14874.301172766904,0.0,20377.65639958786,6895.652524118257
8003.738738738739,24296.491935473558,43716.49193547356,12593.969079317256,30142.03263264571,34814.89881306196,65550.32847813056,18668.05469961275,23551.459460999962,28044.293740740653,33873.380851359914,43326.53218591578,19002.55033578806,27157.961401568333,33060.0770754712,41443.59448013644,66153.53764566501,14922.230674212296,0.0,20398.24513220838,6918.4919354735575
